Entity,Year,Code,GDP per capita
Argentina,2000,ARG,7.666
Argentina,2001,ARG,7168
Argentina,2002,ARG,2579
Argentina,2003,ARG,3333
Argentina,2004,ARG,4258
Argentina,2005,ARG,5086
Argentina,2006,ARG,5890
Argentina,2007,ARG,7210
Argentina,2008,ARG,8977
Argentina,2009,ARG,8184
Argentina,2010,ARG,10385
Argentina,2011,ARG,12848
Argentina,2012,ARG,13082
Argentina,2013,ARG,13080
Argentina,2014,ARG,12334
Argentina,2015,ARG,13789
Argentina,2016,ARG,12790
Argentina,2017,ARG,14613
Argentina,2018,ARG,11795
Argentina,2019,ARG,9963
Argentina,2020,ARG,8496
Argentina,2021,ARG,10636